Season,All-outs Conceded_Rank,Name,Matches Played,All-outs Conceded,All-outs Inflicted_Rank,All-outs Inflicted,Avg points Scored_Rank,Avg points Scored,Avg Raid Points_Rank,Avg Raid Points,Avg Tackle Points_Rank,Avg Tackle Points,Do-Or-Die Raid Points_Rank,Do-Or-Die Raid Points,Raid Points_Rank,Raid Points,Successful Raids_Rank,Successful Raids,Successful Tackles_Rank,Successful Tackles,Super Raid_Rank,Super Raid,Super Tackles_Rank,Super Tackles,Tackle Points_Rank,Tackle Points,Total Points Conceded_Rank,Total Points Conceded,Total Points Scored_Rank,Total Points Scored
Season 7,1,Puneri Paltan,20,33,10,18,5,29.5,7,17.9,1,11.6,6,60,6,358,5,290,1,207,9,6,2,25,1,232,1,723,4,652
Season 7,2,Tamil Thalaivas,19,29,11,13,12,25.68,8,17.16,12,8.53,8,52,9,326,10,259,12,151,12,4,10,13,12,162,2,659,12,546
Season 7,3,Bengaluru Bulls,19,24,6,21,2,30.73,3,20.68,7,10.05,12,42,3,393,3,309,8,168,5,8,2,25,6,191,3,644,3,656
Season 7,4,Jaipur Pink Panthers,20,23,9,19,8,27.8,10,16.85,2,10.95,1,73,7,337,9,261,2,189,7,7,1,32,2,219,3,644,7,626
Season 7,4,Patna Pirates,19,23,3,28,6,29.42,5,19.37,7,10.05,4,69,5,368,4,291,8,168,3,13,4,23,6,191,5,641,6,640
Season 7,6,Telugu Titans,18,22,11,13,7,28.55,6,18.44,6,10.11,11,44,8,332,7,273,10,162,4,9,5,21,9,182,8,603,9,564
Season 7,6,U.P. Yoddha,18,22,6,21,9,26.72,11,16.06,3,10.67,2,71,12,289,12,223,5,177,10,5,7,16,5,192,11,570,11,551
Season 7,6,Gujarat Fortunegiants,20,22,6,21,11,26.15,12,16.0,5,10.15,7,59,10,320,8,265,3,187,10,5,6,17,3,203,9,591,8,605
Season 7,9,Haryana Steelers,19,21,4,27,4,30.1,4,19.84,4,10.26,2,71,4,377,5,290,4,181,2,14,9,14,4,195,6,626,5,650
Season 7,10,U Mumba,18,20,5,25,10,26.66,9,16.89,9,9.78,5,66,11,304,11,238,10,162,7,7,7,16,11,176,12,529,10,562
Season 7,11,Bengal Warriors,19,16,2,31,3,30.63,2,20.95,10,9.68,9,51,2,398,2,318,7,174,1,15,11,12,8,184,10,590,2,676
Season 7,12,Dabang Delhi K.C.,19,15,1,33,1,31.31,1,21.79,11,9.53,10,47,1,414,1,340,6,175,5,8,12,8,10,181,7,617,1,709
