Season,Date,Match Type,Match No,Status,Zone,Team1,Team 1 Points,Team 2 Points,Team2,Winner,Played at home of?,Stadium
Season 7,"SATURDAY, 20 JULY",,1, COMPLETED,,Telugu Titans,25,31,U Mumba,U Mumba,Telugu Titans,"GACHIBOWLI INDOOR STADIUM, HYDERABAD"
Season 7,"SATURDAY, 20 JULY",,2, COMPLETED,,Bengaluru Bulls,34,32,Patna Pirates,Bengaluru Bulls,Telugu Titans,"GACHIBOWLI INDOOR STADIUM, HYDERABAD"
Season 7,"SUNDAY, 21 JULY",,3, COMPLETED,,Bengaluru Bulls,24,42,Gujarat Fortunegiants,Gujarat Fortunegiants,Telugu Titans,"GACHIBOWLI INDOOR STADIUM, HYDERABAD"
Season 7,"SUNDAY, 21 JULY",,4, COMPLETED,,Telugu Titans,26,39,Tamil Thalaivas,Tamil Thalaivas,Telugu Titans,"GACHIBOWLI INDOOR STADIUM, HYDERABAD"
Season 7,"MONDAY, 22 JULY",,5, COMPLETED,,U Mumba,23,42,Jaipur Pink Panthers,Jaipur Pink Panthers,Telugu Titans,"GACHIBOWLI INDOOR STADIUM, HYDERABAD"
Season 7,"MONDAY, 22 JULY",,6, COMPLETED,,Puneri Paltan,24,34,Haryana Steelers,Haryana Steelers,Telugu Titans,"GACHIBOWLI INDOOR STADIUM, HYDERABAD"
Season 7,"WEDNESDAY, 24 JULY",,7, COMPLETED,,U.P. Yoddha,17,48,Bengal Warriors,Bengal Warriors,Telugu Titans,"GACHIBOWLI INDOOR STADIUM, HYDERABAD"
Season 7,"WEDNESDAY, 24 JULY",,8, COMPLETED,,Telugu Titans,33,34,Dabang Delhi K.C.,Dabang Delhi K.C.,Telugu Titans,"GACHIBOWLI INDOOR STADIUM, HYDERABAD"
Season 7,"THURSDAY, 25 JULY",,9, COMPLETED,,Dabang Delhi K.C.,30,29,Tamil Thalaivas,Dabang Delhi K.C.,Telugu Titans,"GACHIBOWLI INDOOR STADIUM, HYDERABAD"
Season 7,"FRIDAY, 26 JULY",,10, COMPLETED,,U.P. Yoddha,19,44,Gujarat Fortunegiants,Gujarat Fortunegiants,Telugu Titans,"GACHIBOWLI INDOOR STADIUM, HYDERABAD"
