Season,Date,Match Type,Match No,Status,Zone,Team1,Team 1 Points,Team 2 Points,Team2,Winner,Played at home of?,Stadium
Season 7,"THURSDAY, 26 SEPTEMBER",,108,COMPLETED,,Patna Pirates,39,43,Dabang Delhi K.C.,Dabang Delhi K.C.,Jaipur Pink Panthers,"SAWAI MANSINGH STADIUM, JAIPUR"
Season 7,"FRIDAY, 27 SEPTEMBER",,109,COMPLETED,,U Mumba,33,35,Bengaluru Bulls,Bengaluru Bulls,Jaipur Pink Panthers,"SAWAI MANSINGH STADIUM, JAIPUR"
Season 7,"FRIDAY, 27 SEPTEMBER",,110,COMPLETED,,Jaipur Pink Panthers,31,51,Telugu Titans,Telugu Titans,Jaipur Pink Panthers,"SAWAI MANSINGH STADIUM, JAIPUR"
Season 7,"SATURDAY, 28 SEPTEMBER",,111,COMPLETED,,Haryana Steelers,30,37,U.P. Yoddha,U.P. Yoddha,Haryana Steelers,"TAU DEVILAL SPORTS COMPLEX, PANCHKULA"
Season 7,"SATURDAY, 28 SEPTEMBER",,112,COMPLETED,,Gujarat Fortunegiants,50,21,Tamil Thalaivas,Gujarat Fortunegiants,Haryana Steelers,"TAU DEVILAL SPORTS COMPLEX, PANCHKULA"
Season 7,"SUNDAY, 29 SEPTEMBER",,113,COMPLETED,,Puneri Paltan,40,60,Dabang Delhi K.C.,Dabang Delhi K.C.,Haryana Steelers,"TAU DEVILAL SPORTS COMPLEX, PANCHKULA"
Season 7,"SUNDAY, 29 SEPTEMBER",,114,COMPLETED,,Haryana Steelers,38,37,Gujarat Fortunegiants,Haryana Steelers,Haryana Steelers,"TAU DEVILAL SPORTS COMPLEX, PANCHKULA"
Season 7,"MONDAY, 30 SEPTEMBER",,115,UPCOMING,,Bengal Warriors,,,Dabang Delhi K.C.,,Haryana Steelers,"TAU DEVILAL SPORTS COMPLEX, PANCHKULA"
Season 7,"MONDAY, 30 SEPTEMBER",,116,UPCOMING,,Tamil Thalaivas,,,U Mumba,,Haryana Steelers,"TAU DEVILAL SPORTS COMPLEX, PANCHKULA"
Season 7,"WEDNESDAY, 02 OCTOBER",,117,UPCOMING,,U Mumba,,,Patna Pirates,,Haryana Steelers,"TAU DEVILAL SPORTS COMPLEX, PANCHKULA"
Season 7,"WEDNESDAY, 02 OCTOBER",,118,UPCOMING,,Haryana Steelers,,,Bengaluru Bulls,,Haryana Steelers,"TAU DEVILAL SPORTS COMPLEX, PANCHKULA"
Season 7,"THURSDAY, 03 OCTOBER",,119,UPCOMING,,Telugu Titans,,,Puneri Paltan,,Haryana Steelers,"TAU DEVILAL SPORTS COMPLEX, PANCHKULA"
Season 7,"FRIDAY, 04 OCTOBER",,120,UPCOMING,,Jaipur Pink Panthers,,,Bengaluru Bulls,,Haryana Steelers,"TAU DEVILAL SPORTS COMPLEX, PANCHKULA"
Season 7,"FRIDAY, 04 OCTOBER",,121,UPCOMING,,Haryana Steelers,,,Telugu Titans,,Haryana Steelers,"TAU DEVILAL SPORTS COMPLEX, PANCHKULA"
Season 7,"SATURDAY, 05 OCTOBER",,122,UPCOMING,,U.P. Yoddha,,,Dabang Delhi K.C.,,U.P. Yoddha,"SHAHEED VIJAY SINGH PATHIK SPORTS COMPLEX, GREATER NOIDA"
Season 7,"SATURDAY, 05 OCTOBER",,123,UPCOMING,,Gujarat Fortunegiants,,,Patna Pirates,,U.P. Yoddha,"SHAHEED VIJAY SINGH PATHIK SPORTS COMPLEX, GREATER NOIDA"
Season 7,"SUNDAY, 06 OCTOBER",,124,UPCOMING,,Bengal Warriors,,,Patna Pirates,,U.P. Yoddha,"SHAHEED VIJAY SINGH PATHIK SPORTS COMPLEX, GREATER NOIDA"
Season 7,"SUNDAY, 06 OCTOBER",,125,UPCOMING,,U.P. Yoddha,,,Puneri Paltan,,U.P. Yoddha,"SHAHEED VIJAY SINGH PATHIK SPORTS COMPLEX, GREATER NOIDA"
Season 7,"MONDAY, 07 OCTOBER",,126,UPCOMING,,Telugu Titans,,,Gujarat Fortunegiants,,U.P. Yoddha,"SHAHEED VIJAY SINGH PATHIK SPORTS COMPLEX, GREATER NOIDA"
Season 7,"MONDAY, 07 OCTOBER",,127,UPCOMING,,Tamil Thalaivas,,,Jaipur Pink Panthers,,U.P. Yoddha,"SHAHEED VIJAY SINGH PATHIK SPORTS COMPLEX, GREATER NOIDA"
Season 7,"WEDNESDAY, 09 OCTOBER",,128,UPCOMING,,Bengal Warriors,,,Tamil Thalaivas,,U.P. Yoddha,"SHAHEED VIJAY SINGH PATHIK SPORTS COMPLEX, GREATER NOIDA"
Season 7,"WEDNESDAY, 09 OCTOBER",,129,UPCOMING,,U.P. Yoddha,,,Telugu Titans,,U.P. Yoddha,"SHAHEED VIJAY SINGH PATHIK SPORTS COMPLEX, GREATER NOIDA"
Season 7,"THURSDAY, 10 OCTOBER",,130,UPCOMING,,U Mumba,,,Haryana Steelers,,U.P. Yoddha,"SHAHEED VIJAY SINGH PATHIK SPORTS COMPLEX, GREATER NOIDA"
Season 7,"FRIDAY, 11 OCTOBER",,131,UPCOMING,,Dabang Delhi K.C.,,,U Mumba,,U.P. Yoddha,"SHAHEED VIJAY SINGH PATHIK SPORTS COMPLEX, GREATER NOIDA"
Season 7,"FRIDAY, 11 OCTOBER",,132,UPCOMING,,U.P. Yoddha,,,Bengaluru Bulls,,U.P. Yoddha,"SHAHEED VIJAY SINGH PATHIK SPORTS COMPLEX, GREATER NOIDA"
Season 7,"MONDAY, 14 OCTOBER",,ELIMINATOR 1 ,UPCOMING,,,,,,,Gujarat Fortunegiants,"EKA ARENA BY TRANSSTADIA, AHMEDABAD"
Season 7,"MONDAY, 14 OCTOBER",,ELIMINATOR 2 ,UPCOMING,,,,,,,Gujarat Fortunegiants,"EKA ARENA BY TRANSSTADIA, AHMEDABAD"
Season 7,"WEDNESDAY, 16 OCTOBER",,Semi Final1,UPCOMING,,,,,,,Gujarat Fortunegiants,"EKA ARENA BY TRANSSTADIA, AHMEDABAD"
Season 7,"WEDNESDAY, 16 OCTOBER",,Semi Final2,UPCOMING,,,,,,,Gujarat Fortunegiants,"EKA ARENA BY TRANSSTADIA, AHMEDABAD"
Season 7,"SATURDAY, 19 OCTOBER",,FINAL ,UPCOMING,,,,,,,Gujarat Fortunegiants,"EKA ARENA BY TRANSSTADIA, AHMEDABAD"
