Season,All-outs Conceded_Rank,Name,Matches Played,All-outs Conceded,All-outs Inflicted_Rank,All-outs Inflicted,Avg points Scored_Rank,Avg points Scored,Avg Raid Points_Rank,Avg Raid Points,Avg Tackle Points_Rank,Avg Tackle Points,Do-Or-Die Raid Points_Rank,Do-Or-Die Raid Points,Raid Points_Rank,Raid Points,Successful Raids_Rank,Successful Raids,Successful Tackles_Rank,Successful Tackles,Super Raid_Rank,Super Raid,Super Tackles_Rank,Super Tackles,Tackle Points_Rank,Tackle Points,Total Points Conceded_Rank,Total Points Conceded,Total Points Scored_Rank,Total Points Scored
Season 1,1,Puneri Paltan,14,26,7,12,8,26.85,7,19.21,7,7.64,2,48,8,269,8,204,8,93,3,11,3,14,7,107,1,536,8,405
Season 1,2,Bengal Warriors,14,25,8,11,5,28.92,5,20.21,6,8.71,8,30,7,283,7,213,6,106,3,11,2,16,6,122,2,515,7,430
Season 1,3,Dabang Delhi K.C.,14,23,5,18,4,29.92,4,20.36,4,9.57,6,31,6,285,5,246,4,124,8,5,6,10,5,134,7,471,6,456
Season 1,4,U Mumba,16,19,3,21,2,31.5,2,21.69,3,9.81,4,40,1,347,2,270,3,145,2,12,4,12,3,157,3,499,2,550
Season 1,5,Patna Pirates,16,17,5,18,6,28.62,6,19.75,5,8.88,3,42,4,316,4,253,4,124,1,13,1,18,4,142,4,487,3,504
Season 1,6,Jaipur Pink Panthers,16,15,1,29,1,32.12,3,21.5,1,10.63,1,50,2,344,2,270,1,158,5,9,4,12,1,170,8,458,1,579
Season 1,6,Bengaluru Bulls,16,15,4,20,7,28.37,8,18.19,2,10.19,4,40,5,291,6,225,2,153,7,7,6,10,2,163,5,479,4,498
Season 1,8,Telugu Titans,14,14,2,25,3,31.42,1,24,8,7.43,6,31,3,336,1,272,7,96,6,8,8,8,8,104,6,474,5,497
Season 2,1,Patna Pirates,16,21,5,13,6,24.5,7,14.25,3,10.25,5,60,5,228,5,182,4,152,8,4,6,13,3,164,2,489,4,444
Season 2,1,Puneri Paltan,14,21,7,12,7,24.07,3,15.93,8,8.14,7,56,6,223,6,170,8,104,5,8,7,11,8,114,3,465,7,391
Season 2,3,Dabang Delhi K.C.,14,20,5,13,5,25.21,5,15.5,6,9.71,4,61,7,217,7,159,6,122,2,14,5,14,6,136,4,464,6,396
Season 2,4,Bengal Warriors,14,17,8,10,8,22.85,8,13.14,6,9.71,6,59,8,184,8,134,7,116,4,9,1,21,6,136,6,430,8,367
Season 2,5,Bengaluru Bulls,16,16,2,25,4,26,4,15.75,3,10.25,2,80,2,252,2,194,2,158,3,10,8,7,3,164,5,457,2,508
Season 2,6,Telugu Titans,16,15,1,26,1,32.25,1,21.5,2,10.75,3,66,1,344,1,265,2,158,1,16,3,16,2,172,1,493,1,586
Season 2,7,U Mumba,16,14,3,20,2,27.06,6,14.81,1,12.25,1,81,3,237,3,187,1,180,6,7,3,16,1,196,7,426,3,489
Season 2,8,Jaipur Pink Panthers,14,12,4,17,3,26.71,2,16.57,5,10.14,8,47,4,232,4,183,5,124,7,5,2,18,5,142,8,399,5,442
Season 3,1,Dabang Delhi K.C.,14,28,8,9,6,24.57,3,16.64,7,7.93,7,54,6,233,6,171,7,98,6,5,3,13,7,111,1,525,6,384
Season 3,2,Jaipur Pink Panthers,14,22,7,11,7,22.14,8,13.79,5,8.36,5,59,8,193,8,149,5,101,4,8,1,16,5,117,7,427,7,364
Season 3,3,Bengaluru Bulls,14,21,6,12,8,22.07,7,14.93,8,7.14,4,69,7,209,7,158,8,94,2,9,6,7,8,100,3,467,8,362
Season 3,4,Bengal Warriors,16,18,4,17,5,25,6,15.63,4,9.38,3,70,5,250,2,213,4,137,7,4,3,13,4,150,4,449,4,460
Season 3,5,Telugu Titans,14,17,5,13,3,26.42,2,18.14,6,8.29,8,44,2,254,3,206,5,101,8,3,2,15,6,116,5,437,5,427
Season 3,6,Patna Pirates,16,13,1,30,1,31.62,1,20.25,2,11.38,2,74,1,324,1,241,1,175,1,16,6,7,2,182,2,468,1,594
Season 3,6,Puneri Paltan,16,13,3,25,2,27.37,5,15.69,1,11.69,1,87,4,251,5,203,2,174,2,9,3,13,1,187,6,433,2,510
Season 3,8,U Mumba,16,12,2,27,4,26.37,4,15.81,3,10.56,5,59,3,253,3,206,3,163,5,7,8,6,3,169,8,397,3,502
