Season,Date,Match Type,Match No,Status,Zone,Team1,Team 1 Points,Team 2 Points,Team2,Winner,Played at home of?,Stadium
Season 1,"SATURDAY, 26 JULY",,1, COMPLETED,,U Mumba,45,31,Jaipur Pink Panthers,U Mumba,U Mumba,"DOME@NSCI SVP STADIUM, MUMBAI"
Season 1,"SATURDAY, 26 JULY",,2, COMPLETED,,Dabang Delhi K.C.,28,47,Bengaluru Bulls,Bengaluru Bulls,U Mumba,"DOME@NSCI SVP STADIUM, MUMBAI"
Season 1,"SUNDAY, 27 JULY",,3, COMPLETED,,Bengaluru Bulls,40,37,Puneri Paltan,Bengaluru Bulls,U Mumba,"DOME@NSCI SVP STADIUM, MUMBAI"
Season 1,"SUNDAY, 27 JULY",,4, COMPLETED,,U Mumba,36,25,Bengal Warriors,U Mumba,U Mumba,"DOME@NSCI SVP STADIUM, MUMBAI"
Season 1,"MONDAY, 28 JULY",,5, COMPLETED,,Puneri Paltan,31,35,Dabang Delhi K.C.,Dabang Delhi K.C.,U Mumba,"DOME@NSCI SVP STADIUM, MUMBAI"
Season 1,"MONDAY, 28 JULY",,6, COMPLETED,,U Mumba,35,35,Telugu Titans,Tied,U Mumba,"DOME@NSCI SVP STADIUM, MUMBAI"
Season 1,"TUESDAY, 29 JULY",,7, COMPLETED,,U Mumba,36,33,Patna Pirates,U Mumba,U Mumba,"DOME@NSCI SVP STADIUM, MUMBAI"
Season 1,"WEDNESDAY, 30 JULY",,8, COMPLETED,,Bengal Warriors,30,46,Bengaluru Bulls,Bengaluru Bulls,Bengal Warriors,"NETAJI SUBHASH CHANDRA BOSE INDOOR STADIUM, KOLKATA"
Season 1,"THURSDAY, 31 JULY",,9, COMPLETED,,Jaipur Pink Panthers,46,32,Telugu Titans,Jaipur Pink Panthers,Bengal Warriors,"NETAJI SUBHASH CHANDRA BOSE INDOOR STADIUM, KOLKATA"
Season 1,"THURSDAY, 31 JULY",,10, COMPLETED,,Bengal Warriors,42,40,Dabang Delhi K.C.,Bengal Warriors,Bengal Warriors,"NETAJI SUBHASH CHANDRA BOSE INDOOR STADIUM, KOLKATA"
Season 1,"FRIDAY, 01 AUGUST",,11, COMPLETED,,Telugu Titans,35,38,Patna Pirates,Patna Pirates,Bengal Warriors,"NETAJI SUBHASH CHANDRA BOSE INDOOR STADIUM, KOLKATA"
Season 1,"FRIDAY, 01 AUGUST",,12, COMPLETED,,Bengal Warriors,38,35,Puneri Paltan,Bengal Warriors,Bengal Warriors,"NETAJI SUBHASH CHANDRA BOSE INDOOR STADIUM, KOLKATA"
Season 1,"SATURDAY, 02 AUGUST",,13, COMPLETED,,Patna Pirates,18,40,Jaipur Pink Panthers,Jaipur Pink Panthers,Bengal Warriors,"NETAJI SUBHASH CHANDRA BOSE INDOOR STADIUM, KOLKATA"
Season 1,"SATURDAY, 02 AUGUST",,14, COMPLETED,,Bengal Warriors,29,38,U Mumba,U Mumba,Bengal Warriors,"NETAJI SUBHASH CHANDRA BOSE INDOOR STADIUM, KOLKATA"
Season 1,"SUNDAY, 03 AUGUST",,15, COMPLETED,,Dabang Delhi K.C.,35,39,Telugu Titans,Telugu Titans,Dabang Delhi K.C.,"THYAGARAJ SPORTS COMPLEX, DELHI"
Season 1,"SUNDAY, 03 AUGUST",,16, COMPLETED,,Puneri Paltan,33,31,Bengaluru Bulls,Puneri Paltan,Dabang Delhi K.C.,"THYAGARAJ SPORTS COMPLEX, DELHI"
Season 1,"MONDAY, 04 AUGUST",,17, COMPLETED,,U Mumba,44,28,Puneri Paltan,U Mumba,Dabang Delhi K.C.,"THYAGARAJ SPORTS COMPLEX, DELHI"
Season 1,"MONDAY, 04 AUGUST",,18, COMPLETED,,Dabang Delhi K.C.,31,36,Patna Pirates,Patna Pirates,Dabang Delhi K.C.,"THYAGARAJ SPORTS COMPLEX, DELHI"
Season 1,"TUESDAY, 05 AUGUST",,19, COMPLETED,,Bengaluru Bulls,34,45,U Mumba,U Mumba,Dabang Delhi K.C.,"THYAGARAJ SPORTS COMPLEX, DELHI"
Season 1,"TUESDAY, 05 AUGUST",,20, COMPLETED,,Dabang Delhi K.C.,31,40,Jaipur Pink Panthers,Jaipur Pink Panthers,Dabang Delhi K.C.,"THYAGARAJ SPORTS COMPLEX, DELHI"
Season 1,"WEDNESDAY, 06 AUGUST",,21, COMPLETED,,Dabang Delhi K.C.,46,36,Bengal Warriors,Dabang Delhi K.C.,Dabang Delhi K.C.,"THYAGARAJ SPORTS COMPLEX, DELHI"
Season 1,"THURSDAY, 07 AUGUST",,22, COMPLETED,,Patna Pirates,35,27,Puneri Paltan,Patna Pirates,Patna Pirates,"PATLIPUTRA SPORTS COMPLEX, PATNA"
Season 1,"FRIDAY, 08 AUGUST",,23, COMPLETED,,Bengal Warriors,40,35,Telugu Titans,Bengal Warriors,Patna Pirates,"PATLIPUTRA SPORTS COMPLEX, PATNA"
Season 1,"FRIDAY, 08 AUGUST",,24, COMPLETED,,Patna Pirates,37,37,U Mumba,Tied,Patna Pirates,"PATLIPUTRA SPORTS COMPLEX, PATNA"
Season 1,"SATURDAY, 09 AUGUST",,25, COMPLETED,,Telugu Titans,29,49,Jaipur Pink Panthers,Jaipur Pink Panthers,Patna Pirates,"PATLIPUTRA SPORTS COMPLEX, PATNA"
Season 1,"SATURDAY, 09 AUGUST",,26, COMPLETED,,Patna Pirates,30,30,Dabang Delhi K.C.,Tied,Patna Pirates,"PATLIPUTRA SPORTS COMPLEX, PATNA"
Season 1,"SUNDAY, 10 AUGUST",,27, COMPLETED,,Jaipur Pink Panthers,39,23,Bengal Warriors,Jaipur Pink Panthers,Patna Pirates,"PATLIPUTRA SPORTS COMPLEX, PATNA"
Season 1,"SUNDAY, 10 AUGUST",,28, COMPLETED,,Patna Pirates,35,37,Bengaluru Bulls,Bengaluru Bulls,Patna Pirates,"PATLIPUTRA SPORTS COMPLEX, PATNA"
Season 1,"TUESDAY, 12 AUGUST",,29, COMPLETED,,Puneri Paltan,36,42,Telugu Titans,Telugu Titans,Puneri Paltan,"SHREE SHIV CHHATRAPATI SPORTS COMPLEX, PUNE"
Season 1,"WEDNESDAY, 13 AUGUST",,30, COMPLETED,,U Mumba,30,33,Bengaluru Bulls,Bengaluru Bulls,Puneri Paltan,"SHREE SHIV CHHATRAPATI SPORTS COMPLEX, PUNE"
Season 1,"WEDNESDAY, 13 AUGUST",,31, COMPLETED,,Puneri Paltan,40,30,Bengal Warriors,Puneri Paltan,Puneri Paltan,"SHREE SHIV CHHATRAPATI SPORTS COMPLEX, PUNE"
Season 1,"THURSDAY, 14 AUGUST",,32, COMPLETED,,Bengaluru Bulls,27,29,Dabang Delhi K.C.,Dabang Delhi K.C.,Puneri Paltan,"SHREE SHIV CHHATRAPATI SPORTS COMPLEX, PUNE"
Season 1,"THURSDAY, 14 AUGUST",,33, COMPLETED,,Puneri Paltan,23,50,Jaipur Pink Panthers,Jaipur Pink Panthers,Puneri Paltan,"SHREE SHIV CHHATRAPATI SPORTS COMPLEX, PUNE"
Season 1,"FRIDAY, 15 AUGUST",,34, COMPLETED,,Dabang Delhi K.C.,36,27,U Mumba,Dabang Delhi K.C.,Puneri Paltan,"SHREE SHIV CHHATRAPATI SPORTS COMPLEX, PUNE"
Season 1,"FRIDAY, 15 AUGUST",,35, COMPLETED,,Puneri Paltan,31,37,Patna Pirates,Patna Pirates,Puneri Paltan,"SHREE SHIV CHHATRAPATI SPORTS COMPLEX, PUNE"
Season 1,"SATURDAY, 16 AUGUST",,36, COMPLETED,,Telugu Titans,28,28,Bengaluru Bulls,Tied,Telugu Titans,"RAJIV GANDHI INDOOR STADIUM, VIZAG"
